exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
rtc_controller_observe_rep03,RTC-CONTROLLER-OBSERVE,0,"Phase B-PostBurst (80% Window)",8.4328,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep03,RTC-CONTROLLER-OBSERVE,0,"Phase C (Read Recovery)",17.9694,100000,5565.0259,18.2082,10103.5428,0.0000,10103.5428,9596.3320,0.0000,259.7010,38
rtc_controller_active_rep04,RTC-CONTROLLER-ACTIVE,0,"Phase A (Read Sensitive)",0.8707,100000,114855.2000,1.4336,535.7317,0.0000,535.7317,419.1490,0.0000,91.7554,29
rtc_controller_active_rep04,RTC-CONTROLLER-ACTIVE,0,"Phase B (Write Burst)",3.0700,100000,32572.9508,7.7412,2456.1968,0.0000,2456.1968,2054.1473,0.0000,194.0416,32
rtc_controller_active_rep04,RTC-CONTROLLER-ACTIVE,0,"Phase B-Inject (20% Window)",0.6140,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep04,RTC-CONTROLLER-ACTIVE,0,"Phase B-PostBurst (80% Window)",2.4560,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep04,RTC-CONTROLLER-ACTIVE,0,"Phase C (Read Recovery)",3.8818,100000,25761.4637,6.2738,2801.3568,0.0000,2801.3568,2378.5692,0.0000,198.6817,38
rtc_controller_observe_rep04,RTC-CONTROLLER-OBSERVE,0,"Phase A (Read Sensitive)",0.7062,100000,141609.6899,1.2376,491.2650,0.0000,491.2650,377.4349,0.0000,62.5248,29
rtc_controller_observe_rep04,RTC-CONTROLLER-OBSERVE,0,"Phase B (Write Burst)",10.6023,100000,9431.9133,25.2593,7306.0764,0.0000,7306.0764,6930.8975,0.0000,245.9175,32
rtc_controller_observe_rep04,RTC-CONTROLLER-OBSERVE,0,"Phase B-Inject (20% Window)",2.1205,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep04,RTC-CONTROLLER-OBSERVE,0,"Phase B-PostBurst (80% Window)",8.4818,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep04,RTC-CONTROLLER-OBSERVE,0,"Phase C (Read Recovery)",17.8031,100000,5616.9969,18.5919,9981.8382,0.0000,9981.8382,9549.9259,0.0000,220.5063,38
rtc_native_t512_rep04,RTC-NATIVE-T512,512,"Phase A (Read Sensitive)",0.5179,100000,193104.3596,0.9899,218.2465,0.0000,218.2465,137.7877,0.0000,49.8764,29
rtc_native_t512_rep04,RTC-NATIVE-T512,512,"Phase B (Write Burst)",0.9711,100000,102979.2320,2.7445,592.4225,0.0000,592.4225,324.3789,0.0000,125.4357,32
rtc_native_t512_rep04,RTC-NATIVE-T512,512,"Phase B-Inject (20% Window)",0.1942,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep04,RTC-NATIVE-T512,512,"Phase B-PostBurst (80% Window)",0.7769,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep04,RTC-NATIVE-T512,512,"Phase C (Read Recovery)",0.8927,100000,112021.7226,1.9418,441.5704,0.0000,441.5704,181.9701,0.0000,84.9078,38
