elapsed_sec,event_type,job_id,reason,input_level,output_level,sst_path,num_range_deletions,data_size,num_entries,dropped_records
16.87,flush,70,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000120.sst,0,64653230,61913,0
17.21,flush,75,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000123.sst,0,64484881,61752,0
17.56,flush,79,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000126.sst,0,63934253,61224,0
18.33,flush,82,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000129.sst,0,64677265,61936,0
18.38,compaction,73,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000121.sst,0,258966277,246078,1428
18.40,compaction,51,kCompaction,0,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000091.sst,0,947123329,900000,35315
18.65,flush,85,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000131.sst,0,64885179,62133,0
19.41,flush,88,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000135.sst,0,129106677,123637,0
19.71,flush,89,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000138.sst,0,63708437,61006,0
20.06,flush,90,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000140.sst,0,64711948,61968,0
20.63,flush,93,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000143.sst,0,64654039,61913,0
20.90,flush,96,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000146.sst,0,64079366,61363,0
21.30,flush,98,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000149.sst,0,63275185,60592,0
21.66,flush,99,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000152.sst,0,64544863,61807,0
22.55,flush,101,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000154.sst,0,64694706,61952,0
22.60,compaction,97,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000147.sst,0,257962272,245119,1131
23.04,flush,105,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000157.sst,0,63946475,61235,0
23.41,flush,110,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000161.sst,0,64014765,61300,0
23.80,flush,112,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000163.sst,0,64702301,61958,0
24.45,flush,116,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000166.sst,0,64773646,62027,0
24.53,compaction,108,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000160.sst,0,257356944,244537,1049
24.87,flush,119,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000168.sst,0,64386034,61656,0
25.51,flush,123,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000172.sst,0,64716030,61971,0
25.78,flush,127,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000175.sst,0,64797198,62050,0
26.64,flush,129,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000177.sst,0,64681872,61939,0
26.68,compaction,121,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000170.sst,0,258904251,246011,930
