config,rep,seed,generation,range_deletions,flush_reason
AMTV-T512,4,640001,1,515,Memtable Max Range Deletions
AMTV-T512,4,640001,2,515,Memtable Max Range Deletions
AMTV-T512,4,640001,3,514,Memtable Max Range Deletions
AMTV-T512,4,640001,4,512,Memtable Max Range Deletions
AMTV-T512,4,640001,5,513,Memtable Max Range Deletions
AMTV-T512,4,640001,6,514,Memtable Max Range Deletions
AMTV-T512,4,640001,7,513,Memtable Max Range Deletions
AMTV-T512,4,640001,8,514,Memtable Max Range Deletions
AMTV-T512,4,640001,9,515,Memtable Max Range Deletions
AMTV-T512,4,640001,10,516,Memtable Max Range Deletions
AMTV-T512,4,640001,11,513,Memtable Max Range Deletions
AMTV-T512,4,640001,12,514,Memtable Max Range Deletions
AMTV-T512,4,640001,13,514,Memtable Max Range Deletions
AMTV-T512,4,640001,14,514,Memtable Max Range Deletions
AMTV-T512,4,640001,15,512,Memtable Max Range Deletions
AMTV-T512,4,640001,16,514,Memtable Max Range Deletions
AMTV-T512,4,640001,17,512,Memtable Max Range Deletions
AMTV-T512,4,640001,18,512,Memtable Max Range Deletions
AMTV-T512,4,640001,19,514,Memtable Max Range Deletions
AMTV-T512,4,640001,20,514,Memtable Max Range Deletions
AMTV-T512,4,640001,21,513,Memtable Max Range Deletions
AMTV-T512,4,640001,22,514,Memtable Max Range Deletions
AMTV-T512,4,640001,23,513,Memtable Max Range Deletions
AMTV-T512,4,640001,24,513,Memtable Max Range Deletions
AMTV-T512,4,640001,25,512,Memtable Max Range Deletions
AMTV-T512,4,640001,26,514,Memtable Max Range Deletions
AMTV-T512,4,640001,27,515,Memtable Max Range Deletions
AMTV-T512,4,640001,28,512,Memtable Max Range Deletions
AMTV-T512,4,640001,29,513,Memtable Max Range Deletions
AMTV-T512,4,640001,30,513,Memtable Max Range Deletions
AMTV-T512,4,640001,31,513,Memtable Max Range Deletions
AMTV-T512,4,640001,32,513,Memtable Max Range Deletions
AMTV-T512,4,640001,33,514,Memtable Max Range Deletions
AMTV-T512,4,640001,34,514,Memtable Max Range Deletions
AMTV-T512,4,640001,35,514,Memtable Max Range Deletions
AMTV-T512,4,640001,36,513,Memtable Max Range Deletions
AMTV-T512,4,640001,37,514,Memtable Max Range Deletions
AMTV-T512,4,640001,38,513,Memtable Max Range Deletions
AMTV-T512,5,650001,1,513,Memtable Max Range Deletions
AMTV-T512,5,650001,2,513,Memtable Max Range Deletions
AMTV-T512,5,650001,3,515,Memtable Max Range Deletions
AMTV-T512,5,650001,4,514,Memtable Max Range Deletions
AMTV-T512,5,650001,5,514,Memtable Max Range Deletions
AMTV-T512,5,650001,6,514,Memtable Max Range Deletions
AMTV-T512,5,650001,7,513,Memtable Max Range Deletions
AMTV-T512,5,650001,8,512,Memtable Max Range Deletions
AMTV-T512,5,650001,9,515,Memtable Max Range Deletions
AMTV-T512,5,650001,10,513,Memtable Max Range Deletions
AMTV-T512,5,650001,11,517,Memtable Max Range Deletions
AMTV-T512,5,650001,12,512,Memtable Max Range Deletions
AMTV-T512,5,650001,13,513,Memtable Max Range Deletions
AMTV-T512,5,650001,14,513,Memtable Max Range Deletions
AMTV-T512,5,650001,15,512,Memtable Max Range Deletions
AMTV-T512,5,650001,16,513,Memtable Max Range Deletions
AMTV-T512,5,650001,17,512,Memtable Max Range Deletions
AMTV-T512,5,650001,18,513,Memtable Max Range Deletions
AMTV-T512,5,650001,19,512,Memtable Max Range Deletions
AMTV-T512,5,650001,20,514,Memtable Max Range Deletions
AMTV-T512,5,650001,21,514,Memtable Max Range Deletions
AMTV-T512,5,650001,22,512,Memtable Max Range Deletions
AMTV-T512,5,650001,23,513,Memtable Max Range Deletions
AMTV-T512,5,650001,24,513,Memtable Max Range Deletions
AMTV-T512,5,650001,25,512,Memtable Max Range Deletions
AMTV-T512,5,650001,26,513,Memtable Max Range Deletions
AMTV-T512,5,650001,27,514,Memtable Max Range Deletions
AMTV-T512,5,650001,28,515,Memtable Max Range Deletions
AMTV-T512,5,650001,29,513,Memtable Max Range Deletions
AMTV-T512,5,650001,30,512,Memtable Max Range Deletions
AMTV-T512,5,650001,31,513,Memtable Max Range Deletions
AMTV-T512,5,650001,32,516,Memtable Max Range Deletions
AMTV-T512,5,650001,33,512,Memtable Max Range Deletions
AMTV-T512,5,650001,34,514,Memtable Max Range Deletions
AMTV-T512,5,650001,35,513,Memtable Max Range Deletions
AMTV-T512,5,650001,36,515,Memtable Max Range Deletions
AMTV-T512,5,650001,37,512,Memtable Max Range Deletions
AMTV-T512,5,650001,38,514,Memtable Max Range Deletions
