config,phase_id,phase_name,op_name,count,p50_us_mean,p50_us_median,p50_us_iqr,p95_us_mean,p99_us_mean,p99_us_median,p99_us_iqr,p999_us_mean,max_us_mean,avg_us_mean,ret_keys_total,avg_returned_keys,scan_cost_per_key_us
AMTV-T512,0,Phase A (Baseline),GetLive,70000,6.314,6.233,0.3359999999999994,16.700200000000002,22.401999999999997,21.962,1.4600000000000009,37.800200000000004,120.6822,7.810784,0,0.0,0.0
AMTV-T512,0,Phase A (Baseline),Put,20000,11.054599999999999,10.96,0.2920000000000016,19.8526,25.4272,25.45,0.2789999999999999,61.455799999999996,208.66560000000004,11.855939999999999,0,0.0,0.0
AMTV-T512,0,Phase A (Baseline),Scan-NonIntersect,5000,45.0338,44.855,1.3290000000000006,62.3322,80.572,74.673,2.088000000000008,105.499,138.4876,47.034659999999995,500000,100.0,0.47034660000000006
AMTV-T512,0,Phase A (Baseline),Scan-PlannedIntersect,5000,61.436400000000006,61.926,3.0919999999999987,118.83419999999998,155.8878,145.393,3.5500000000000114,194.8212,326.18739999999997,68.53209999999999,500000,100.0,0.685321
AMTV-T512,1,Phase B (Dynamic Injection),DeleteRange,20000,172.7764,173.212,14.943999999999988,1159.382,1609.3960000000002,1615.66,43.25,2770.1299999999997,3664.304,270.82319999999993,0,0.0,0.0
AMTV-T512,1,Phase B (Dynamic Injection),GetLive,40000,22.111399999999996,23.048,1.2669999999999995,61.427,82.1866,83.423,6.532000000000011,123.95540000000001,581.1196,26.498720000000002,0,0.0,0.0
AMTV-T512,1,Phase B (Dynamic Injection),Put,30000,123.40039999999999,123.175,11.389999999999986,818.2366000000001,1492.4879999999998,1508.12,16.199999999999818,2614.626,3490.6059999999998,209.16960000000003,0,0.0,0.0
AMTV-T512,1,Phase B (Dynamic Injection),Scan-Intersect,5000,226.02039999999997,231.937,17.75200000000001,548.5458000000001,666.3039999999999,663.957,35.831999999999994,841.2369999999999,3684.6769999999997,262.5146,250000,50.0,5.25029
AMTV-T512,1,Phase B (Dynamic Injection),Scan-NonIntersect,5000,224.54739999999998,229.365,15.52000000000001,524.6338,625.8525999999999,628.443,25.022000000000048,801.0734,2518.9268,256.0238,500000,100.0,2.560238
AMTV-T512,2,Phase C (Post-Injection Read-Dominant),GetLive,80000,10.8554,10.476,0.8599999999999994,25.0854,34.278000000000006,30.983,2.8270000000000017,47.102999999999994,411.49120000000005,13.0531,0,0.0,0.0
