elapsed_sec,event_type,job_id,reason,input_level,output_level,sst_path,num_range_deletions,data_size,num_entries,dropped_records
256.85,compaction,980,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001024.sst,0,0,0,0
256.86,compaction,981,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001046.sst,0,0,0,0
256.86,compaction,982,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001067.sst,0,0,0,0
256.87,compaction,983,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001078.sst,0,0,0,0
256.88,compaction,984,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001091.sst,0,0,0,0
256.88,compaction,985,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001104.sst,0,0,0,0
256.89,compaction,986,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001118.sst,0,0,0,0
256.89,compaction,987,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001131.sst,0,0,0,0
257.49,flush,989,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001185.sst,0,58687498,56170,0
258.13,compaction,976,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001182.sst,0,248031665,235624,659
258.49,flush,991,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001191.sst,0,64754885,61978,0
259.34,flush,992,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001196.sst,0,58756988,56236,0
260.31,flush,994,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001203.sst,0,60597796,57998,0
261.09,flush,995,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001208.sst,0,64858879,62076,0
262.15,flush,996,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001215.sst,0,59985343,57412,0
263.35,flush,997,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001222.sst,0,64907756,62124,0
264.49,flush,998,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001229.sst,0,61886852,59232,0
264.88,compaction,990,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001188.sst,0,867879956,824728,0
265.52,flush,1000,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001236.sst,0,64744374,61967,0
265.72,compaction,988,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001183.sst,0,1109455249,1054295,0
267.07,flush,1002,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001241.sst,0,64676070,61902,0
267.11,compaction,999,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001234.sst,0,313522814,297838,1004
267.43,flush,1003,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001246.sst,0,63661560,60931,0
268.41,flush,1005,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001253.sst,0,61234792,58608,0
269.84,flush,1006,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001260.sst,0,64908994,62124,0
270.87,flush,1007,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001267.sst,0,61145807,58522,0
270.88,compaction,1001,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001239.sst,0,608750901,578482,0
271.87,flush,1009,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001274.sst,0,63180476,60470,0
273.33,flush,1010,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001280.sst,0,64755374,61978,0
273.35,compaction,1004,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001247.sst,0,744031746,707040,0
273.37,compaction,1008,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001270.sst,0,381502281,362409,1645
273.64,flush,1013,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001285.sst,0,56254569,53841,0
275.01,flush,1014,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001292.sst,0,63129619,60422,0
275.53,compaction,1011,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001282.sst,0,263352264,250259,6852
276.13,flush,1016,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001299.sst,0,64778880,62000,0
277.07,compaction,1012,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001283.sst,0,429384436,408037,41901
277.09,compaction,1015,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001297.sst,0,248514809,236080,631
277.20,flush,1017,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001304.sst,0,64342402,61582,0
278.33,flush,1020,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001311.sst,0,58752756,56232,0
279.50,flush,1021,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001318.sst,0,64962417,62175,0
280.45,compaction,1018,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001306.sst,0,384604909,365481,84457
280.64,flush,1022,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001326.sst,0,64826129,62046,0
280.70,compaction,1019,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001307.sst,0,426591757,405385,73277
282.25,flush,1025,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001333.sst,0,61099658,58478,0
282.26,compaction,1023,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001328.sst,0,254039716,241329,660
282.69,flush,1028,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001337.sst,0,57686898,55211,0
283.55,flush,1031,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001342.sst,0,59126809,56589,0
284.17,compaction,1024,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001329.sst,0,402310943,382308,78377
286.98,flush,1035,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001347.sst,0,63801140,61064,0
287.04,compaction,1032,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001343.sst,0,243945574,231736,588
287.84,flush,1038,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001349.sst,0,64733043,61956,0
288.48,flush,1043,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001354.sst,0,57343353,54883,0
289.79,flush,1046,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001357.sst,0,64882759,62099,0
292.29,flush,1049,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001360.sst,0,64801487,62021,0
293.47,flush,1052,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001364.sst,0,60739237,58133,0
295.28,compaction,1039,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001351.sst,0,804192879,763912,6297
295.34,flush,1053,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001366.sst,0,64799648,62020,0
295.36,compaction,1051,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001363.sst,0,252986185,240327,632
295.75,flush,1057,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001370.sst,0,61418240,58783,0
296.58,flush,1060,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001372.sst,0,64414366,61651,0
297.59,flush,1064,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001376.sst,0,64608961,61837,0
299.12,compaction,1061,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001374.sst,0,252627000,239987,600
299.12,flush,1067,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001379.sst,0,62737182,60045,0
299.97,flush,1070,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001382.sst,0,64723556,61947,0
300.68,flush,1074,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001386.sst,0,55605507,53219,0
302.45,flush,1078,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001390.sst,0,64565931,61796,0
302.62,compaction,1075,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001387.sst,0,248940363,236484,564
303.40,flush,1082,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001394.sst,0,64775856,61997,0
304.34,flush,1086,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001398.sst,0,62779254,60086,0
306.31,flush,1089,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001401.sst,0,64785292,62006,0
306.86,compaction,1080,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001392.sst,0,813248155,772517,6077
306.93,flush,1092,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001404.sst,0,64089337,61340,0
307.62,flush,1097,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001408.sst,0,57728062,55250,0
308.17,compaction,1094,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001406.sst,0,257693660,244798,631
308.69,flush,1101,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001413.sst,0,64799956,62020,0
309.56,flush,1104,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001416.sst,0,64017610,61271,0
310.63,flush,1107,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001419.sst,0,64804839,62025,0
311.42,flush,1111,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001423.sst,0,63582224,60854,0
312.15,compaction,1108,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001421.sst,0,252636834,239996,570
312.32,flush,1114,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001426.sst,0,56615287,54185,0
313.20,flush,1118,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001429.sst,0,63056605,60351,0
314.14,flush,1121,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001433.sst,0,64930977,62145,0
315.66,flush,1125,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001437.sst,0,64582780,61812,0
315.73,compaction,1122,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001434.sst,0,249409403,236933,602
316.02,flush,1130,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001441.sst,0,58634499,56118,0
316.84,flush,1133,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001444.sst,0,56524498,54098,0
318.34,flush,1136,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001447.sst,0,64732179,61955,0
319.07,compaction,1127,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001439.sst,0,818491329,777494,6045
319.47,flush,1140,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001451.sst,0,62785352,60091,0
320.78,flush,1144,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001455.sst,0,64866301,62083,0
320.79,compaction,1141,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001452.sst,0,243943965,231738,524
321.51,flush,1148,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001458.sst,0,59706688,57144,0
322.27,compaction,993,kCompaction,0,4,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001199.sst,0,7717580710,7333649,622693
322.31,compaction,1152,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001268.sst,0,0,0,0
322.33,flush,1151,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001461.sst,0,56382860,53963,0
323.18,flush,1155,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001464.sst,0,64833937,62052,0
323.95,flush,1156,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001468.sst,0,63530274,60804,0
324.26,compaction,1157,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001469.sst,0,118892104,112982,0
