config_name,rep,generation,is_active_generation,job_id,flush_completion_time,time_micros,flush_reason,generation_range_deletions,cumulative_flushed_range_deletions,pre_flush_logical_bytes,output_sst_bytes,window
Native-T512,2,23,False,40,2026-09-07 22:33:11.593683,1788791591593683,Memtable Max Range Deletions,512,11785,234886,51953,foreground
Native-T512,2,24,False,41,2026-09-07 22:33:11.642156,1788791591642156,Memtable Max Range Deletions,512,12297,230641,51490,foreground
Native-T512,2,25,False,44,2026-09-07 22:33:11.691771,1788791591691771,Memtable Max Range Deletions,512,12809,245357,53226,foreground
Native-T512,2,26,False,46,2026-09-07 22:33:11.742184,1788791591742184,Memtable Max Range Deletions,514,13323,244309,53204,foreground
Native-T512,2,27,False,47,2026-09-07 22:33:11.787370,1788791591787370,Memtable Max Range Deletions,513,13836,232381,51814,foreground
Native-T512,2,28,False,50,2026-09-07 22:33:11.840213,1788791591840213,Memtable Max Range Deletions,512,14348,244508,53135,foreground
Native-T512,2,29,False,51,2026-09-07 22:33:11.884416,1788791591884416,Memtable Max Range Deletions,512,14860,237999,52370,foreground
Native-T512,2,30,False,52,2026-09-07 22:33:11.933618,1788791591933618,Memtable Max Range Deletions,513,15373,238607,52434,foreground
Native-T512,2,31,False,53,2026-09-07 22:33:11.982511,1788791591982511,Memtable Max Range Deletions,514,15887,241479,52845,foreground
Native-T512,2,32,False,55,2026-09-07 22:33:12.040077,1788791592040077,Memtable Max Range Deletions,512,16399,246489,53401,foreground
Native-T512,2,33,False,56,2026-09-07 22:33:12.100826,1788791592100826,Memtable Max Range Deletions,512,16911,232905,51612,foreground
Native-T512,2,34,False,57,2026-09-07 22:33:12.162622,1788791592162622,Memtable Max Range Deletions,514,17425,244875,53190,foreground
Native-T512,2,35,False,60,2026-09-07 22:33:12.232257,1788791592232257,Memtable Max Range Deletions,512,17937,242810,52808,foreground
Native-T512,2,36,False,62,2026-09-07 22:33:12.287485,1788791592287485,Memtable Max Range Deletions,512,18449,232622,51876,foreground
Native-T512,2,37,False,63,2026-09-07 22:33:12.349364,1788791592349364,Memtable Max Range Deletions,512,18961,252715,54204,foreground
Native-T512,2,38,False,66,2026-09-07 22:33:12.418529,1788791592418529,Memtable Max Range Deletions,512,19473,226113,50806,foreground
Native-T512,2,39,False,67,2026-09-07 22:33:12.518259,1788791592518259,Memtable Max Range Deletions,512,19985,234320,51410,foreground
Native-T512,2,40,True,ACTIVE_MEMTABLE,N/A (Unflushed),N/A,Remained Below Threshold,15,20000,N/A,0,foreground
Native-T512,3,1,False,3,2026-09-07 22:36:07.670566,1788791767670566,Memtable Max Range Deletions,512,512,5904791,713994,foreground
