exp_id,elapsed_sec,total_ops,overall_iops,put_count,put_p50_us,put_p95_us,put_p99_us,put_mean_us,get_aff_live_count,get_aff_live_p50_us,get_aff_live_p95_us,get_aff_live_p99_us,get_aff_live_mean_us,get_del_count,get_del_p50_us,get_del_p95_us,get_del_p99_us,get_del_mean_us,get_ctrl_count,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_ctrl_mean_us,scan_count,scan_ops_sec,scan_keys_sec,scan_avg_span,scan_avg_keys_returned,scan_p50_us,scan_p95_us,scan_p99_us,scan_mean_us,scan_us_per_key,del_range_count,del_range_p50_us,del_range_p95_us,del_range_p99_us,del_range_mean_us,tombstones_count,union_deleted_keys,union_coverage_ratio,overlap_factor,compaction_read_mb,compaction_write_mb,flush_write_mb,stall_micros,compaction_drop_keys,l0_files_final,pending_compact_mb,total_sst_mb,sample_verified_ok,sample_verified_notfound,full_scan_ok
p2_tombstone_long_overlapped_rep3,18.5049,200000,10808.0,9828,50.356,142.518,242.456,63.1715,2112,12.281,1522.71,4507.23,220.471,105641,9.212,6478.27,13153.8,764.749,38644,20.33,3964.12,12203.9,544.55,39808,2151.22,59925.0,99.9888,27.8563,172.368,6506.97,13238.1,924.595,33.1916,3966,122.568,223.749,342.093,137.254,3966,399982,0.799964,9.91053,0.0,0.0,0.0,0,0,0,0,114.53,1925,8075,PASS
p3_point_heavy_rep1,195.047,200000,1025.4,19983,47.682,203.702,676.234,77.3188,6455,77.43,9896.34,27128.3,2007.95,107940,65.895,39846.4,59086.5,9358.13,35484,63.055,36610.7,56968.9,7202.45,9985,51.1929,1461.59,99.9931,28.5507,1023.43,39206.7,59570.7,9021.94,315.997,20153,105.495,353.607,1107.63,144.597,20153,399965,0.79993,10.0744,0.0,0.0,0.0,0,0,0,0,114.529,1932,8068,PASS
p3_point_heavy_rep2,193.048,200000,1036.01,19983,48.923,221.968,763.151,83.5237,6556,100.79,9949.15,29901.1,2231.36,107806,188.751,41068.0,59507.8,9601.79,35517,73.193,38071.5,56482.2,7490.17,9985,51.7229,1483.07,99.9931,28.6734,1085.35,41285.6,60262.0,9365.02,326.61,20153,108.744,377.456,1087.58,152.512,20153,399965,0.79993,10.0744,0.0,0.0,57.2723,0,0,0,0,114.529,1936,8064,PASS
p3_point_heavy_rep3,191.046,200000,1046.87,19983,47.04,214.379,554.015,73.1526,6504,88.081,9342.83,25553.6,2007.31,107866,87.355,39837.7,60039.5,9301.29,35508,69.296,35352.8,57262.4,7107.52,9985,52.265,1496.14,99.9931,28.6261,1123.25,39204.9,61757.5,9102.45,317.977,20153,105.804,361.111,901.922,140.274,20153,399965,0.79993,10.0744,0.0,0.0,0.0,0,0,0,0,114.534,1935,8065,PASS
p3_scan_heavy_rep1,211.554,200000,945.387,19983,53.777,149.461,279.514,66.9072,913,221.246,9659.58,24207.5,2250.81,14289,1489.14,41300.6,61991.3,10337.1,4646,89.866,35538.4,56831.9,7271.85,140016,661.846,18611.0,99.99,28.1198,844.073,40466.5,60269.7,9580.99,340.72,20153,113.462,236.994,501.699,129.326,20153,399965,0.79993,10.0744,0.0,0.0,0.0,0,0,0,0,114.51,1941,8059,PASS
p3_scan_heavy_rep2,210.554,200000,949.876,19983,51.701,145.827,279.95,64.4325,900,174.829,7753.16,25652.6,2010.81,14300,751.108,40954.9,60278.7,10085.0,4648,100.263,35926.3,55343.5,7424.6,140016,664.989,18694.0,99.99,28.1118,863.018,40056.7,59672.3,9467.32,336.774,20153,109.689,251.026,543.742,128.981,20153,399965,0.79993,10.0744,0.0,0.0,0.0,0,0,0,0,114.53,1940,8060,PASS
p3_scan_heavy_rep3,199.04,200000,1004.82,19983,48.624,143.237,268.468,64.231,894,161.07,9781.22,25201.3,2112.88,14313,347.169,38670.3,57686.0,9004.01,4641,96.007,35037.8,54836.9,7031.52,140016,703.455,19801.1,99.99,28.1483,577.677,37979.8,54823.7,8488.45,301.561,20153,106.576,230.025,432.741,118.929,20153,399965,0.79993,10.0744,0.0,0.0,0.0,0,0,0,0,114.522,1933,8067,PASS
p4_locality_cold_rep1,9.50269,200000,21046.7,10071,45.798,106.654,189.026,50.746,3476,25.906,2020.74,3868.11,268.297,9938,9.756,2642.43,4317.5,302.959,132570,9.248,2034.34,4072.73,239.951,39940,4203.02,391229.0,100.0,93.0828,284.631,2756.57,4905.24,682.935,7.33685,4005,105.163,189.141,266.402,105.026,4005,343992,0.687984,2.3265,0.0,0.0,0.0,0,0,0,0,114.523,3066,6934,PASS
p4_locality_cold_rep2,10.0029,200000,19994.2,10071,46.517,108.174,179.479,50.8879,3452,26.11,2214.7,3881.64,276.018,9966,9.905,2933.75,4236.13,336.931,132566,9.534,2345.51,4046.73,262.707,39940,3992.84,371690.0,100.0,93.0891,305.369,2972.91,4875.04,709.545,7.62221,4005,107.306,190.974,274.975,107.72,4005,343992,0.687984,2.3265,0.0,0.0,0.0,0,0,0,0,114.508,3066,6934,PASS
p4_locality_cold_rep3,9.00279,200000,22215.3,10071,38.079,101.708,156.088,44.5744,3477,22.795,2246.54,3930.52,256.136,9951,8.771,2760.67,4373.17,295.874,132556,7.52,2183.38,4056.61,229.532,39940,4436.4,412820.0,100.0,93.0529,245.887,2724.05,4866.08,603.686,6.48755,4005,93.222,168.291,221.636,91.2883,4005,343992,0.687984,2.3265,0.0,0.0,0.0,0,0,0,0,114.535,3066,6934,PASS
