config,phase,op_name,sample_count_per_rep,total_sample_count_5reps,metric,unit,rep1_raw,rep2_raw,rep3_raw,rep4_raw,rep5_raw,mean,sample_std,median,iqr,quantile_algorithm
AMTV-T512,Phase A,Scan-NonIntersect,5000,25000,Mean,us,47.7002,47.2192,47.9667,46.2473,46.0399,47.034659999999995,0.859531891787617,47.2192,1.4528999999999996,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Put,20000,100000,P50,us,11.226,10.96,11.289,10.864,10.934,11.054599999999999,0.18983097745099448,10.96,0.2920000000000016,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Put,20000,100000,P95,us,20.127,19.931,19.87,19.99,19.345,19.8526,0.2992829764620769,19.931,0.11999999999999744,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Put,20000,100000,P99,us,25.45,25.229,25.508,26.315,24.634,25.4272,0.6049146220748846,25.45,0.2789999999999999,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Put,20000,100000,P99.9,us,54.846,79.385,52.657,66.918,53.473,61.455799999999996,11.57718958556005,54.846,13.445000000000007,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Put,20000,100000,Max,us,272.038,235.377,99.587,256.609,179.717,208.66560000000004,70.29276633338597,235.377,76.89199999999997,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Put,20000,100000,Mean,us,12.0252,11.7938,12.0863,11.7255,11.6489,11.855939999999999,0.19069361027575105,11.7938,0.29969999999999963,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,GetLive,40000,200000,P50,us,24.244,14.001,22.977,26.287,23.048,22.111399999999996,4.727279587669846,23.048,1.2669999999999995,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,GetLive,40000,200000,P95,us,65.697,51.709,60.565,66.691,62.473,61.427,5.962786261472064,62.473,5.132000000000005,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,GetLive,40000,200000,P99,us,88.915,74.809,78.627,85.159,83.423,82.1866,5.539290279449169,83.423,6.532000000000011,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,GetLive,40000,200000,P99.9,us,136.722,120.179,111.09,122.665,129.121,123.95540000000001,9.63216415453973,122.665,8.942000000000007,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,GetLive,40000,200000,Max,us,504.997,1052.77,290.978,534.923,521.93,581.1196,281.987780187901,521.93,29.925999999999988,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,GetLive,40000,200000,Mean,us,28.75,20.067,26.6905,29.8744,27.1117,26.498720000000002,3.8158558446304025,27.1117,2.0595,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-Intersect,5000,25000,P50,us,242.44,172.241,231.937,258.796,224.688,226.02039999999997,32.68351468707121,231.937,17.75200000000001,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-Intersect,5000,25000,P95,us,582.321,484.196,538.283,589.099,548.83,548.5458000000001,41.92740380347918,548.83,44.03800000000001,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-Intersect,5000,25000,P99,us,687.55,620.994,663.957,707.301,651.718,666.3039999999999,33.17906881604727,663.957,35.831999999999994,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-Intersect,5000,25000,P99.9,us,906.991,696.509,782.823,896.777,923.085,841.2369999999999,98.06345471173246,896.777,124.168,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-Intersect,5000,25000,Max,us,7563.12,814.155,1306.51,7195.59,1544.01,3684.6769999999997,3385.5154790326983,1544.01,5889.08,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-Intersect,5000,25000,Mean,us,281.513,211.144,263.461,290.917,265.538,262.5146,30.88936181438521,265.538,18.051999999999964,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-NonIntersect,5000,25000,P50,us,240.404,166.272,229.365,261.812,224.884,224.54739999999998,35.56482458553677,229.365,15.52000000000001,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-NonIntersect,5000,25000,P95,us,554.381,459.263,521.831,558.127,529.567,524.6338,39.72475297846419,529.567,32.549999999999955,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-NonIntersect,5000,25000,P99,us,655.982,578.296,628.443,645.782,620.76,625.8525999999999,29.996819328055413,628.443,25.022000000000048,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-NonIntersect,5000,25000,P99.9,us,833.229,780.801,753.035,845.622,792.68,801.0734,38.104027389503074,792.68,52.428,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-NonIntersect,5000,25000,Max,us,972.593,1069.2,846.441,8604.29,1102.11,2518.9268,3403.2734200890623,1069.2,129.51699999999994,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Scan-NonIntersect,5000,25000,Mean,us,273.093,203.551,258.97,285.8,258.705,256.0238,31.413545417542423,258.97,14.388000000000034,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Put,30000,150000,P50,us,133.409,102.618,123.175,135.781,122.019,123.40039999999999,13.10838044153434,123.175,11.389999999999986,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Put,30000,150000,P95,us,1135.23,518.17,637.512,1117.55,682.721,818.2366000000001,287.7234568067053,682.721,480.038,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Put,30000,150000,P99,us,1518.87,1405.4,1508.12,1527.38,1502.67,1492.4879999999998,49.61303729867781,1508.12,16.199999999999818,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Put,30000,150000,P99.9,us,2598.59,2540.65,2744.49,2556.27,2633.13,2614.626,81.15121859836722,2598.59,76.86000000000013,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Put,30000,150000,Max,us,3163.45,4528.49,3917.7,2915.26,2928.13,3490.6059999999998,709.5854072837179,3163.45,989.5699999999997,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,Put,30000,150000,Mean,us,228.18,174.948,207.358,229.206,206.156,209.16960000000003,22.058639006067438,207.358,22.024,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,DeleteRange,20000,100000,P50,us,186.31,141.998,171.366,190.996,173.212,172.7764,19.135053143380613,173.212,14.943999999999988,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,DeleteRange,20000,100000,P95,us,1232.69,1080.77,1132.09,1229.47,1121.89,1159.382,68.22158837201025,1132.09,107.57999999999993,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,DeleteRange,20000,100000,P99,us,1658.88,1512.43,1608.38,1615.66,1651.63,1609.3960000000002,58.47018924204027,1615.66,43.25,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,DeleteRange,20000,100000,P99.9,us,2782.67,2690.04,2814.78,2756.45,2806.71,2770.1299999999997,50.225792676671695,2782.67,50.26000000000022,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,DeleteRange,20000,100000,Max,us,3184.17,4523.15,3729.78,3136.34,3748.08,3664.304,560.8468194881734,3729.78,563.9099999999999,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase B,DeleteRange,20000,100000,Mean,us,294.097,226.704,267.763,297.906,267.646,270.82319999999993,28.4653783340394,267.763,26.450999999999965,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,GetLive,80000,400000,P50,us,10.335,10.458,11.69,10.476,11.318,10.8554,0.6089423618044645,10.476,0.8599999999999994,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,GetLive,80000,400000,P95,us,22.259,38.965,21.631,20.711,21.861,25.0854,7.779730766549703,21.861,0.6280000000000001,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,GetLive,80000,400000,P99,us,31.504,51.725,28.501,28.677,30.983,34.278000000000006,9.84498400201849,30.983,2.8270000000000017,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,GetLive,80000,400000,P99.9,us,43.113,73.276,39.633,38.772,40.721,47.102999999999994,14.721433473001193,40.721,3.479999999999997,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,GetLive,80000,400000,Max,us,282.166,224.248,1057.8,282.565,210.677,411.49120000000005,362.7838186257761,282.166,58.31700000000001,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,GetLive,80000,400000,Mean,us,12.1427,15.7893,13.081,11.8232,12.4293,13.0531,1.598294204769573,12.4293,0.9382999999999999,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
