round,rep,config,seed,window,flush_output_bytes,compaction_read_bytes,compaction_write_bytes,flush_plus_comp_write_output_bytes,pwa,note
17,5,Native-T0,650001,Close/Teardown,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
17,5,Native-T0,650001,Three-Window Total,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
18,5,Native-T512,650001,Window 1 (Foreground Phase A-C),1615218,60161373,53817094,55432312,3.6088744791666665,严格按完成事件时间归属
18,5,Native-T512,650001,Window 2 (10s Cooldown),0,0,0,0,0.0,严格按完成事件时间归属
18,5,Native-T512,650001,Window 3 (Drain-to-stable),0,0,0,0,0.0,严格按完成事件时间归属
18,5,Native-T512,650001,Close/Teardown,0,0,0,0,0.0,严格按完成事件时间归属
18,5,Native-T512,650001,Three-Window Total,1615218,60161373,53817094,55432312,3.6088744791666665,严格按完成事件时间归属
19,5,AMTV-T0,650001,Window 1 (Foreground Phase A-C),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
19,5,AMTV-T0,650001,Window 2 (10s Cooldown),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
19,5,AMTV-T0,650001,Window 3 (Drain-to-stable),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
19,5,AMTV-T0,650001,Close/Teardown,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
19,5,AMTV-T0,650001,Three-Window Total,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
20,5,AMTV-T512,650001,Window 1 (Foreground Phase A-C),1591929,39468731,35102652,36694581,2.3889701171875,严格按完成事件时间归属
20,5,AMTV-T512,650001,Window 2 (10s Cooldown),0,10554054,8899607,8899607,0.5794014973958334,严格按完成事件时间归属
20,5,AMTV-T512,650001,Window 3 (Drain-to-stable),0,0,0,0,0.0,严格按完成事件时间归属
20,5,AMTV-T512,650001,Close/Teardown,0,0,0,0,0.0,严格按完成事件时间归属
20,5,AMTV-T512,650001,Three-Window Total,1591929,50022785,44002259,45594188,2.9683716145833334,严格按完成事件时间归属
