exp_id,rep,phase,worker_id,op_class,op_count,total_latency_ms,p50_us,p95_us,p99_us,materialized_ops,materialization_rate_per_1k,lock_contended_ops,both_count,materialization_or_lock_affected_reads,affected_p50_us,affected_p95_us,affected_p99_us,view_materialization_ms,lock_wait_ms,materialization_and_lock_ratio,active_mem_prep_ms,active_mem_lookup_ms,imm_mem_prep_ms,imm_mem_lookup_ms,active_mem_iter_construct_ms,imm_mem_iter_construct_ms,sst_iter_construct_ms,reseek_count,boundary_advance_count,child_next_count,covered_skip_count,cache_invalidation_count
e9_t512_r3,3,1,3,GetLive,2094,128.9156,45.82,161.79,201.96,387,184.8138,796,0,1183,87.68,179.78,209.69,32.8099,54.1926,0.67488,90.1402,1.1588,0.1367,0.433,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,3,GetDeleted,406,20.7714,34.69,149.08,181.75,79,194.5813,145,0,224,77.86,166.46,183.74,6.5095,9.9371,0.791795,17.0384,0.2258,0.025,0.0891,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,3,ScanIntersect,875,159.7873,172.0,313.94,344.85,127,145.1429,344,0,471,204.55,329.53,357.19,10.642,23.8102,0.215613,0.0,0.0,0.0,0.0,36.4998,0.3942,8.1662,4325,2139,10,10,0
e9_t512_r3,3,1,3,ScanNonIntersect,375,61.8036,155.16,270.95,343.39,82,218.6667,148,0,230,185.53,285.27,347.58,6.7277,9.5818,0.263893,0.0,0.0,0.0,0.0,17.2052,0.1586,2.9933,13,8,0,0,0
e9_t512_r3,3,1,3,Put,8000,269.0012,16.53,59.24,852.69,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,3,DeleteRange,750,52.1697,46.46,100.55,1107.16,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,750
e9_t512_r3,3,1,4,GetLive,2111,135.4898,38.25,177.72,216.67,340,161.0611,751,0,1091,97.13,195.1,233.15,32.6456,54.314,0.641816,90.2108,1.2562,0.1494,0.507,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,4,GetDeleted,389,19.9384,27.73,145.95,196.65,62,159.383,137,0,199,86.31,172.83,231.74,5.5905,9.7951,0.771659,15.9805,0.2319,0.0271,0.0914,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,4,ScanIntersect,833,166.8366,188.14,329.33,391.88,96,115.2461,325,0,421,227.43,360.67,415.36,8.3366,23.3878,0.190152,0.0,0.0,0.0,0.0,33.7934,0.3913,8.3314,4137,2118,23,22,0
e9_t512_r3,3,1,4,ScanNonIntersect,417,75.3904,171.17,303.46,377.66,47,112.7098,173,0,220,202.33,331.13,393.07,4.6531,11.2787,0.211324,0.0,0.0,0.0,0.0,16.9653,0.2084,3.6823,17,13,0,0,0
e9_t512_r3,3,1,4,Put,8000,272.0504,16.67,59.17,892.33,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,4,DeleteRange,750,47.7514,49.43,92.65,135.88,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,750
e9_t512_r3,3,1,5,GetLive,2137,112.1902,36.09,140.49,191.7,398,186.2424,777,0,1175,76.78,155.92,207.92,25.2936,52.7301,0.69546,80.5409,0.9649,0.1129,0.4126,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,5,GetDeleted,363,16.9452,30.6,138.04,169.93,62,170.7989,139,0,201,71.27,153.39,180.43,4.3201,9.4581,0.813102,14.2153,0.1681,0.0205,0.0772,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,5,ScanIntersect,827,125.912,142.54,246.36,299.44,113,136.6385,351,0,464,176.75,266.07,334.15,7.1045,23.1999,0.240679,0.0,0.0,0.0,0.0,31.8938,0.3504,6.094,3996,2048,24,24,0
e9_t512_r3,3,1,5,ScanNonIntersect,423,55.7919,119.72,236.28,302.36,55,130.0236,177,0,232,157.53,255.18,311.1,3.2345,13.9635,0.308253,0.0,0.0,0.0,0.0,17.9272,0.1348,2.5213,23,8,0,0,0
