run_id,rep,phase,worker,op_id,op_class,latency_us,materialization_us,lock_wait_us,active_mem_prep_us,active_mem_lookup_us,sst_iter_construct_us
e9_t0_audit,1,0,0,3781,ScanNonIntersect,120.58,0.00,60.41,0.00,0.00,5.03
e9_t0_audit,1,0,0,3797,ScanNonIntersect,131.35,0.00,75.20,0.00,0.00,1.70
e9_t0_audit,1,0,0,3839,GetLive,81.91,0.00,72.71,74.65,0.63,0.00
e9_t0_audit,1,0,0,3842,ScanNonIntersect,94.47,0.00,46.52,0.00,0.00,1.63
e9_t0_audit,1,0,0,3856,ScanNonIntersect,122.62,0.00,71.00,0.00,0.00,2.24
e9_t0_audit,1,0,0,3857,GetLive,94.13,85.20,0.00,86.92,0.22,0.00
e9_t0_audit,1,0,0,3870,GetLive,79.42,72.19,0.00,74.01,0.18,0.00
e9_t0_audit,1,0,0,3872,GetLive,105.63,0.00,96.98,98.53,0.44,0.00
e9_t0_audit,1,0,0,3878,GetLive,87.32,0.00,80.20,81.51,0.41,0.00
e9_t0_audit,1,0,0,3887,GetLive,89.60,0.00,82.40,83.83,0.55,0.00
e9_t0_audit,1,0,0,3897,GetLive,59.22,0.00,51.18,52.07,0.44,0.00
e9_t0_audit,1,0,0,3905,GetLive,91.03,0.00,83.58,85.21,0.52,0.00
e9_t0_audit,1,0,0,3925,GetLive,77.31,0.00,69.42,71.05,0.49,0.00
e9_t0_audit,1,0,0,3926,GetLive,161.64,0.00,154.54,155.84,0.33,0.00
e9_t0_audit,1,0,0,3939,GetLive,86.46,0.00,80.61,82.05,0.41,0.00
e9_t0_audit,1,0,0,3948,GetLive,88.20,81.42,0.00,83.15,0.23,0.00
e9_t0_audit,1,0,0,3958,GetLive,89.73,0.00,82.02,83.54,0.50,0.00
e9_t0_audit,1,0,0,3972,GetLive,62.03,0.00,55.17,56.61,0.41,0.00
e9_t0_audit,1,0,0,3991,GetLive,93.12,0.00,85.37,86.98,0.38,0.00
e9_t0_audit,1,0,0,4005,GetLive,74.56,0.00,68.33,69.11,0.29,0.00
e9_t0_audit,1,0,0,4007,GetLive,74.53,0.00,67.75,69.12,0.53,0.00
e9_t0_audit,1,0,0,4009,ScanNonIntersect,121.45,0.00,70.85,0.00,0.00,2.42
e9_t0_audit,1,0,0,4026,GetLive,91.54,0.00,82.92,84.62,0.38,0.00
e9_t0_audit,1,0,0,4039,ScanNonIntersect,105.09,0.00,54.01,0.00,0.00,2.09
e9_t0_audit,1,0,0,4040,GetLive,89.08,81.35,0.00,83.28,0.28,0.00
e9_t0_audit,1,0,0,4052,GetLive,69.19,63.24,0.00,65.01,0.20,0.00
e9_t0_audit,1,0,0,4066,ScanNonIntersect,98.47,55.33,0.00,0.00,0.00,1.94
e9_t0_audit,1,0,0,4092,ScanNonIntersect,129.09,0.00,81.67,0.00,0.00,2.42
e9_t0_audit,1,0,0,4093,GetLive,96.56,0.00,88.84,90.30,0.32,0.00
e9_t0_audit,1,0,0,4103,ScanNonIntersect,119.41,0.00,67.11,0.00,0.00,1.57
e9_t0_audit,1,0,0,4104,ScanNonIntersect,121.84,0.00,80.06,0.00,0.00,1.43
e9_t0_audit,1,0,0,4107,GetLive,67.00,0.00,63.48,64.89,0.42,0.00
e9_t0_audit,1,0,0,4124,GetLive,73.55,0.00,66.02,67.62,0.48,0.00
e9_t0_audit,1,0,0,4161,GetLive,104.66,0.00,96.54,98.39,0.41,0.00
e9_t0_audit,1,0,0,4179,ScanNonIntersect,128.77,0.00,82.00,0.00,0.00,1.57
e9_t0_audit,1,0,0,4180,GetLive,102.69,92.84,0.00,94.60,0.36,0.00
e9_t0_audit,1,0,0,4185,GetLive,104.11,0.00,90.22,91.91,0.63,0.00
e9_t0_audit,1,0,0,4218,ScanNonIntersect,136.70,0.00,72.65,0.00,0.00,1.98
e9_t0_audit,1,0,0,4235,GetLive,77.63,0.00,72.72,74.54,0.53,0.00
e9_t0_audit,1,0,0,4236,GetLive,93.97,85.61,0.00,87.27,0.19,0.00
e9_t0_audit,1,0,0,4272,ScanNonIntersect,123.12,0.00,73.76,0.00,0.00,1.99
e9_t0_audit,1,0,0,4278,GetLive,83.05,0.00,73.66,75.69,0.47,0.00
e9_t0_audit,1,0,0,4297,GetLive,61.53,0.00,52.88,54.79,0.36,0.00
e9_t0_audit,1,0,0,4313,GetLive,97.62,0.00,89.94,91.38,0.39,0.00
e9_t0_audit,1,0,0,4322,GetLive,52.47,0.00,39.41,40.81,0.53,0.00
e9_t0_audit,1,0,0,4323,GetLive,78.14,0.00,70.70,71.94,0.56,0.00
e9_t0_audit,1,0,0,4360,GetLive,59.14,0.00,50.63,52.25,0.47,0.00
e9_t0_audit,1,0,0,4365,GetLive,102.33,0.00,94.50,96.18,0.44,0.00
